imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,TimeSinceUpdate,TimeAgo,status
355139085087770,10.620982,103.537527,"10.620982,103.537527",4,Offline,2025-05-03,15:12:30,1746259950,236d21h17min,7m ago,success
355139085087861,10.629293,103.520264,"10.629293,103.520264",4,Offline,2025-02-08,17:28:15,1739010495,320d19h1min,10m ago,success
355139085088554,11.545785,104.899222,"11.545785,104.899222",4,Offline,2025-05-22,17:25:48,1747909548,217d19h3min,7m ago,success
355139085087721,11.594253,104.859533,"11.594253,104.859533",4,Offline,2025-02-27,15:57:42,1740646662,301d20h32min,10m ago,success
355139085088224,0,0,"0,0",3,Expired,,,0,,,success
355139085087895,10.625981,103.52402,"10.625981,103.52402",4,Offline,2025-06-03,10:02:18,1748919738,206d2h27min,6m ago,success
355139085085642,11.52222,104.918247,"11.52222,104.918247",4,Offline,2025-12-25,11:25:51,1766636751,1d1h3min,1d ago,success
355139085089701,10.60992,103.528988,"10.60992,103.528988",4,Offline,2025-02-01,01:57:19,1738349839,328d10h32min,10m ago,success
355139085080197,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4377d13h29min,11y ago,success
355139085090048,10.623084,103.532844,"10.623084,103.532844",4,Offline,2024-10-17,14:02:22,1729148542,434d22h27min,1y ago,success
355139085090634,10.623728,103.532959,"10.623728,103.532959",4,Offline,2025-10-09,14:37:21,1759995441,77d21h52min,2m ago,success
355139085089271,10.594523,103.539434,"10.594523,103.539434",2,Online,2025-12-26,12:27:02,1766726822,0d0h2min,2min ago,success
355139085087820,10.663864,103.52112,"10.663864,103.52112",4,Offline,2025-12-26,12:05:28,1766725528,0d0h24min,24min ago,success
355139085090410,10.604134,103.530144,"10.604134,103.530144",4,Offline,2025-12-26,12:07:41,1766725661,0d0h22min,22min ago,success
355139085090436,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4377d13h29min,11y ago,success
355139085090212,10.620989,103.527932,"10.620989,103.527932",4,Offline,2025-12-24,15:55:22,1766566522,1d20h34min,1d ago,success
355139085089792,10.628335,103.520429,"10.628335,103.520429",4,Offline,2025-12-25,11:04:52,1766635492,1d1h24min,1d ago,success
355139085089743,10.623945,103.532154,"10.623945,103.532154",4,Offline,2025-12-25,16:05:04,1766653504,0d20h24min,20h ago,success
355139085086616,11.711611,105.458583,"11.711611,105.458583",4,Offline,2025-12-25,16:32:59,1766655179,0d19h56min,19h ago,success
355139085104617,10.524019,104.293512,"10.524019,104.293512",4,Offline,2025-02-28,21:06:12,1740751572,300d15h23min,10m ago,success
355139085089776,10.611489,103.524969,"10.611489,103.524969",4,Offline,2025-12-25,13:49:49,1766645389,0d22h39min,22h ago,success
355139085085030,11.071115,106.169969,"11.071115,106.169969",4,Offline,2025-12-25,15:03:20,1766649800,0d21h26min,21h ago,success
355139085090220,10.63785,103.515458,"10.63785,103.515458",4,Offline,2025-12-25,16:10:54,1766653854,0d20h18min,20h ago,success
355139085094206,11.545725,104.899222,"11.545725,104.899222",4,Offline,2025-03-18,12:33:00,1742275980,282d23h56min,9m ago,success
355139085085006,11.545758,104.899078,"11.545758,104.899078",4,Offline,2025-07-18,12:00:37,1752814837,161d0h29min,5m ago,success
355139085089024,10.607067,103.516076,"10.607067,103.516076",4,Offline,2025-12-26,04:56:11,1766699771,0d7h33min,7h ago,success
355139085087788,10.619786,103.517407,"10.619786,103.517407",2,Online,2025-12-26,12:26:13,1766726773,0d0h3min,3min ago,success
355139085088000,10.573249,103.557252,"10.573249,103.557252",4,Offline,2025-12-24,17:06:16,1766570776,1d19h23min,1d ago,success
355139085086020,10.627808,103.509696,"10.627808,103.509696",2,Online,2025-12-26,12:29:18,1766726958,0d0h0min,0min ago,success
355139085096706,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4377d13h29min,11y ago,success
355139085086970,10.632388,103.507069,"10.632388,103.507069",4,Offline,2025-12-25,10:49:27,1766634567,1d1h40min,1d ago,success
355139085094826,11.673985,105.969712,"11.673985,105.969712",4,Offline,2025-12-25,16:19:57,1766654397,0d20h9min,20h ago,success
355139085096573,11.072389,106.162309,"11.072389,106.162309",2,Online,2025-12-26,12:28:42,1766726922,0d0h1min,1min ago,success
355139085087622,10.623346,103.557671,"10.623346,103.557671",4,Offline,2025-12-26,10:58:11,1766721491,0d1h31min,1h ago,success
355139085085857,11.573009,104.90829,"11.573009,104.90829",4,Offline,2025-12-25,16:38:43,1766655523,0d19h50min,19h ago,success
355139085101050,11.74938,105.526551,"11.74938,105.526551",4,Offline,2025-06-21,00:14:33,1750439673,188d12h15min,6m ago,success
355139085079082,11.685471,105.968035,"11.685471,105.968035",4,Offline,2025-12-25,10:52:45,1766634765,1d1h36min,1d ago,success
355139085101605,10.631388,103.50382,"10.631388,103.50382",4,Offline,2025-12-25,10:20:53,1766632853,1d2h8min,1d ago,success
355139085086103,10.648604,103.516564,"10.648604,103.516564",4,Offline,2025-12-25,17:36:20,1766658980,0d18h53min,18h ago,success
355139085085170,10.657743,103.52323,"10.657743,103.52323",2,Online,2025-12-26,12:28:03,1766726883,0d0h1min,1min ago,success
355139085086244,11.637638,105.424943,"11.637638,105.424943",4,Offline,2025-12-24,10:01:39,1766545299,2d2h28min,2d ago,success
355139085087531,11.529644,105.661785,"11.529644,105.661785",4,Offline,2025-12-03,19:41:48,1764765708,22d16h47min,22d ago,success
355139085101779,11.532235,104.886317,"11.532235,104.886317",4,Offline,2025-12-25,16:41:27,1766655687,0d19h48min,19h ago,success
355139085101514,11.269165,104.825272,"11.269165,104.825272",4,Offline,2025-12-25,17:41:20,1766659280,0d18h48min,18h ago,success
355139085087457,10.623711,103.532929,"10.623711,103.532929",4,Offline,2025-12-19,08:47:02,1766108822,7d3h42min,7d ago,success
355139085096912,11.524517,104.827119,"11.524517,104.827119",4,Offline,2025-05-31,22:05:25,1748703925,208d14h24min,6m ago,success
355139085086798,10.625222,103.527702,"10.625222,103.527702",4,Offline,2025-12-25,09:55:00,1766631300,1d2h34min,1d ago,success
355139085086954,11.514027,104.858914,"11.514027,104.858914",4,Offline,2025-12-24,17:08:08,1766570888,1d19h21min,1d ago,success
355139085086095,13.64784,102.5692,"13.64784,102.5692",4,Offline,2024-10-04,13:59:41,1728025181,447d22h30min,1y ago,success
355139085084736,11.549662,104.903505,"11.549662,104.903505",4,Offline,2025-12-25,16:49:17,1766656157,0d19h40min,19h ago,success
355139084610283,11.361993,104.939504,"11.361993,104.939504",4,Offline,2025-12-25,16:43:11,1766655791,0d19h46min,19h ago,success
355139085088356,11.916182,105.621111,"11.916182,105.621111",2,Online,2025-12-26,12:27:11,1766726831,0d0h2min,2min ago,success
