imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,TimeSinceUpdate,TimeAgo,status
355139085087770,10.620982,103.537527,"10.620982,103.537527",4,Offline,2025-05-03,15:12:30,1746259950,201d19h11min,6m ago,success
355139085087861,10.629293,103.520264,"10.629293,103.520264",4,Offline,2025-02-08,17:28:15,1739010495,285d16h55min,9m ago,success
355139085088554,11.545785,104.899222,"11.545785,104.899222",4,Offline,2025-05-22,17:25:48,1747909548,182d16h57min,6m ago,success
355139085087721,11.594253,104.859533,"11.594253,104.859533",4,Offline,2025-02-27,15:57:42,1740646662,266d18h25min,8m ago,success
355139085088224,10.604907,103.548244,"10.604907,103.548244",4,Offline,2025-09-10,19:46:23,1757508383,71d14h37min,2m ago,success
355139085087895,10.625981,103.52402,"10.625981,103.52402",4,Offline,2025-06-03,10:02:18,1748919738,171d0h21min,5m ago,success
355139085085642,11.561055,104.890091,"11.561055,104.890091",2,Online,2025-11-21,10:22:38,1763695358,0d0h1min,1min ago,success
355139085089701,10.60992,103.528988,"10.60992,103.528988",4,Offline,2025-02-01,01:57:19,1738349839,293d8h26min,9m ago,success
355139085080197,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4342d11h23min,11y ago,success
355139085090048,10.623084,103.532844,"10.623084,103.532844",4,Offline,2024-10-17,14:02:22,1729148542,399d20h21min,1y ago,success
355139085090634,10.623728,103.532959,"10.623728,103.532959",4,Offline,2025-10-09,14:37:21,1759995441,42d19h46min,1m ago,success
355139085089271,10.597357,103.548222,"10.597357,103.548222",2,Online,2025-11-21,10:21:21,1763695281,0d0h2min,2min ago,success
355139085087820,10.663592,103.52102,"10.663592,103.52102",2,Online,2025-11-21,10:20:53,1763695253,0d0h2min,2min ago,success
355139085090410,10.634038,103.503592,"10.634038,103.503592",2,Online,2025-11-21,10:20:33,1763695233,0d0h3min,3min ago,success
355139085090436,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4342d11h23min,11y ago,success
355139085090212,10.613628,103.524846,"10.613628,103.524846",2,Online,2025-11-21,10:16:20,1763694980,0d0h7min,7min ago,success
355139085089792,10.620899,103.510961,"10.620899,103.510961",2,Online,2025-11-21,10:14:04,1763694844,0d0h9min,9min ago,success
