imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,TimeSinceUpdate,TimeAgo,status
355139085087770,10.620982,103.537527,"10.620982,103.537527",4,Offline,2025-05-03,15:12:30,1746259950,192d0h50min,6m ago,success
355139085087861,10.629293,103.520264,"10.629293,103.520264",4,Offline,2025-02-08,17:28:15,1739010495,275d22h35min,9m ago,success
355139085088554,11.545785,104.899222,"11.545785,104.899222",4,Offline,2025-05-22,17:25:48,1747909548,172d22h37min,5m ago,success
355139085087721,11.594253,104.859533,"11.594253,104.859533",4,Offline,2025-02-27,15:57:42,1740646662,257d0h5min,8m ago,success
355139085088224,10.604907,103.548244,"10.604907,103.548244",4,Offline,2025-09-10,19:46:23,1757508383,61d20h17min,2m ago,success
355139085087895,10.625981,103.52402,"10.625981,103.52402",4,Offline,2025-06-03,10:02:18,1748919738,161d6h1min,5m ago,success
355139085085642,11.522187,104.91822,"11.522187,104.91822",2,Online,2025-11-11,16:00:56,1762851656,0d0h2min,2min ago,success
355139085089701,10.60992,103.528988,"10.60992,103.528988",4,Offline,2025-02-01,01:57:19,1738349839,283d14h6min,9m ago,success
355139085080197,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4332d17h3min,11y ago,success
355139085090048,10.623084,103.532844,"10.623084,103.532844",4,Offline,2024-10-17,14:02:22,1729148542,390d2h1min,1y ago,success
355139085090634,10.623728,103.532959,"10.623728,103.532959",4,Offline,2025-10-09,14:37:21,1759995441,33d1h26min,1m ago,success
355139085089271,10.585331,103.550142,"10.585331,103.550142",2,Online,2025-11-11,16:02:57,1762851777,0d0h0min,0min ago,success
355139085087820,10.663526,103.521095,"10.663526,103.521095",2,Online,2025-11-11,16:01:43,1762851703,0d0h1min,1min ago,success
355139085090410,10.63254,103.5041,"10.63254,103.5041",4,Offline,2025-11-11,11:08:29,1762834109,0d4h54min,4h ago,success
355139085090436,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4332d17h3min,11y ago,success
355139085090212,10.620906,103.527723,"10.620906,103.527723",4,Offline,2025-11-11,15:36:50,1762850210,0d0h26min,26min ago,success
355139085089792,10.62363,103.517004,"10.62363,103.517004",4,Offline,2025-11-11,15:18:27,1762849107,0d0h44min,44min ago,success
355139085089743,10.623187,103.534845,"10.623187,103.534845",4,Offline,2025-11-11,15:34:33,1762850073,0d0h28min,28min ago,success
355139085086616,13.675517,102.561297,"13.675517,102.561297",4,Offline,2025-11-11,12:41:43,1762839703,0d3h21min,3h ago,success
355139085104617,10.524019,104.293512,"10.524019,104.293512",4,Offline,2025-02-28,21:06:12,1740751572,255d18h57min,8m ago,success
355139085089776,10.611473,103.524837,"10.611473,103.524837",4,Offline,2025-11-11,12:36:19,1762839379,0d3h27min,3h ago,success
355139085085030,11.062689,106.131643,"11.062689,106.131643",2,Online,2025-11-11,16:02:34,1762851754,0d0h0min,0min ago,success
355139085090220,10.631235,103.506098,"10.631235,103.506098",2,Online,2025-11-11,16:00:43,1762851643,0d0h2min,2min ago,success
355139085094206,11.545725,104.899222,"11.545725,104.899222",4,Offline,2025-03-18,12:33:00,1742275980,238d3h30min,7m ago,success
355139085085006,11.545758,104.899078,"11.545758,104.899078",4,Offline,2025-07-18,12:00:37,1752814837,116d4h2min,3m ago,success
355139085089024,10.573243,103.55811,"10.573243,103.55811",4,Offline,2025-11-11,15:22:00,1762849320,0d0h41min,41min ago,success
355139085087788,10.621105,103.50671,"10.621105,103.50671",2,Online,2025-11-11,15:59:11,1762851551,0d0h4min,4min ago,success
355139085088000,10.7476,104.581937,"10.7476,104.581937",2,Online,2025-11-11,16:01:42,1762851702,0d0h1min,1min ago,success
355139085086020,10.627947,103.509498,"10.627947,103.509498",2,Online,2025-11-11,16:02:30,1762851750,0d0h0min,0min ago,success
355139085096706,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4332d17h3min,11y ago,success
355139085086970,10.612483,103.516915,"10.612483,103.516915",2,Online,2025-11-11,16:00:10,1762851610,0d0h3min,3min ago,success
355139085094826,11.90164,105.667956,"11.90164,105.667956",2,Online,2025-11-11,15:59:14,1762851554,0d0h4min,4min ago,success
355139085096573,11.064384,106.13614,"11.064384,106.13614",2,Online,2025-11-11,16:00:10,1762851610,0d0h3min,3min ago,success
355139085087622,10.634299,103.501029,"10.634299,103.501029",2,Online,2025-11-11,16:01:12,1762851672,0d0h2min,2min ago,success
355139085085857,11.540527,104.918362,"11.540527,104.918362",2,Online,2025-11-11,16:02:33,1762851753,0d0h0min,0min ago,success
355139085101050,11.74938,105.526551,"11.74938,105.526551",4,Offline,2025-06-21,00:14:33,1750439673,143d15h48min,4m ago,success
355139085079082,11.68734,105.969026,"11.68734,105.969026",2,Online,2025-11-11,16:00:59,1762851659,0d0h2min,2min ago,success
355139085101605,10.631375,103.503712,"10.631375,103.503712",4,Offline,2025-11-11,15:38:22,1762850302,0d0h25min,25min ago,success
355139085086103,10.554877,103.772884,"10.554877,103.772884",2,Online,2025-11-11,16:02:38,1762851758,0d0h0min,0min ago,success
355139085085170,11.467194,104.886402,"11.467194,104.886402",2,Online,2025-11-11,16:02:15,1762851735,0d0h1min,1min ago,success
355139085086244,11.637617,105.424877,"11.637617,105.424877",2,Online,2025-11-11,16:02:02,1762851722,0d0h1min,1min ago,success
355139085087531,11.617653,105.691953,"11.617653,105.691953",4,Offline,2025-11-11,14:00:26,1762844426,0d2h3min,2h ago,success
355139085101779,11.530806,104.894259,"11.530806,104.894259",2,Online,2025-11-11,16:00:21,1762851621,0d0h3min,3min ago,success
355139085101514,11.268687,104.8206,"11.268687,104.8206",2,Online,2025-11-11,16:01:25,1762851685,0d0h2min,2min ago,success
355139085087457,10.6232,103.530502,"10.6232,103.530502",4,Offline,2025-11-11,06:58:51,1762819131,0d9h4min,9h ago,success
355139085096912,11.524517,104.827119,"11.524517,104.827119",4,Offline,2025-05-31,22:05:25,1748703925,163d17h58min,5m ago,success
355139085086798,10.625926,103.521812,"10.625926,103.521812",4,Offline,2025-11-11,14:37:03,1762846623,0d1h26min,1h ago,success
355139085086954,11.53062,104.914272,"11.53062,104.914272",2,Online,2025-11-11,16:02:54,1762851774,0d0h0min,0min ago,success
355139085086095,13.64784,102.5692,"13.64784,102.5692",4,Offline,2024-10-04,13:59:41,1728025181,403d2h3min,1y ago,success
355139085084736,11.538585,104.928244,"11.538585,104.928244",2,Online,2025-11-11,16:03:01,1762851781,0d0h0min,0min ago,success
355139084610283,11.678152,105.494503,"11.678152,105.494503",2,Online,2025-11-11,16:01:06,1762851666,0d0h2min,2min ago,success
355139085088356,10.634404,103.530571,"10.634404,103.530571",4,Offline,2025-11-11,15:52:53,1762851173,0d0h10min,10min ago,success
355139085083134,10.636396,103.558682,"10.636396,103.558682",2,Online,2025-11-11,15:59:55,1762851595,0d0h3min,3min ago,success
355139085101308,11.551854,104.8718,"11.551854,104.8718",4,Offline,2024-09-21,10:47:22,1726890442,416d5h16min,1y ago,success
355139085085634,10.652072,103.543193,"10.652072,103.543193",4,Offline,2025-11-11,08:51:51,1762825911,0d7h11min,7h ago,success
355139085095021,11.822671,104.951777,"11.822671,104.951777",2,Online,2025-11-11,16:01:17,1762851677,0d0h2min,2min ago,success
355139085087010,11.538224,104.883014,"11.538224,104.883014",4,Offline,2025-01-22,16:04:55,1737536695,292d23h58min,9m ago,success
355139085087317,11.501999,104.838524,"11.501999,104.838524",2,Online,2025-11-11,16:01:57,1762851717,0d0h1min,1min ago,success
355139085086848,11.514705,104.861527,"11.514705,104.861527",2,Online,2025-11-11,16:01:36,1762851696,0d0h1min,1min ago,success
355139085085766,11.60785,104.897944,"11.60785,104.897944",2,Online,2025-11-11,16:03:04,1762851784,0d0h0min,0min ago,success
355139085085865,11.502807,104.843727,"11.502807,104.843727",2,Online,2025-11-11,16:01:28,1762851688,0d0h1min,1min ago,success
355139085097159,11.562654,104.877605,"11.562654,104.877605",2,Online,2025-11-11,16:02:52,1762851772,0d0h0min,0min ago,success
355139085100441,11.5757,104.899515,"11.5757,104.899515",2,Online,2025-11-11,16:01:41,1762851701,0d0h1min,1min ago,success
355139085087473,12.484693,106.108,"12.484693,106.108",4,Offline,2025-10-22,06:44:17,1761090257,20d9h19min,20d ago,success
355139085080205,11.790745,106.051884,"11.790745,106.051884",2,Online,2025-11-11,16:02:12,1762851732,0d0h1min,1min ago,success
355139085083423,10.606972,103.544426,"10.606972,103.544426",4,Offline,2025-11-11,15:51:28,1762851088,0d0h11min,11min ago,success
355139084611307,11.536192,104.890612,"11.536192,104.890612",2,Online,2025-11-11,15:53:57,1762851237,0d0h9min,9min ago,success
355139085101928,11.56162,104.926902,"11.56162,104.926902",2,Online,2025-11-11,16:02:32,1762851752,0d0h0min,0min ago,success
355139085087606,11.579749,104.878815,"11.579749,104.878815",2,Online,2025-11-11,16:03:03,1762851783,0d0h0min,0min ago,success
355139085085048,11.806373,105.46199,"11.806373,105.46199",2,Online,2025-11-11,16:00:16,1762851616,0d0h3min,3min ago,success
355139085084066,13.66171,102.589313,"13.66171,102.589313",2,Online,2025-11-11,16:01:30,1762851690,0d0h1min,1min ago,success
355139084611034,11.395766,105.482589,"11.395766,105.482589",2,Online,2025-11-11,16:02:48,1762851768,0d0h0min,0min ago,success
355139085085097,13.648102,102.569366,"13.648102,102.569366",4,Offline,2024-09-16,10:26:36,1726457196,421d5h36min,1y ago,success
355139085085303,13.677753,102.567969,"13.677753,102.567969",4,Offline,2025-11-11,10:51:39,1762833099,0d5h11min,5h ago,success
355139085088661,11.064827,106.133086,"11.064827,106.133086",2,Online,2025-11-11,16:02:43,1762851763,0d0h0min,0min ago,success
355139085085931,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,4332d17h3min,11y ago,success
355139085083787,10.593382,103.545838,"10.593382,103.545838",4,Offline,2025-11-11,15:40:07,1762850407,0d0h23min,23min ago,success
